started_at,runtime
2017-08-09 09:55:25.528239,31.0
2017-09-13 14:01:08.031565,1261.0
2017-08-11 03:01:28.031407,953.0
2017-07-17 11:25:33.955487,149.0
2017-08-15 11:05:37.007115,423.0
2017-07-07 05:15:58.446412,389.0
2017-07-17 13:06:09.925437,1771.0
2017-07-06 01:50:36.128694,60.0
2017-07-06 18:15:36.890754,162.0
2017-07-28 16:35:43.980719,280.0
2017-09-06 09:35:30.341897,1166.0
2017-07-24 12:15:27.382381,302.0
2017-07-26 05:10:38.765728,94.0
2017-07-07 03:46:12.042163,254.0
2017-07-31 20:41:12.622525,584.0
2017-07-12 21:05:44.504741,107.0
2017-08-08 03:15:41.098874,760.0
2017-07-31 10:10:44.543050,186.0
2017-08-16 12:50:31.397736,40.0
2017-08-11 18:55:40.163857,150.0
2017-07-17 23:10:50.789947,777.0
2017-08-25 03:05:40.353825,151.0
2017-07-01 06:48:14.284076,752.0
2017-08-29 17:11:04.199889,85.0
2017-08-28 19:05:31.893303,405.0
2017-09-08 12:20:33.015390,192.0
2017-09-20 19:15:30.141285,68.0
2017-08-07 12:00:59.819745,972.0
2017-07-03 19:20:52.709656,190.0
2017-08-11 09:15:54.406186,350.0
2017-09-13 11:10:41.088063,947.0
2017-07-29 18:05:47.720157,984.0
2017-07-20 01:01:06.738484,1311.0
2017-07-12 15:06:00.297103,396.0
2017-08-03 10:50:34.541884,56.0
2017-07-05 16:50:48.412279,984.0
2017-07-14 06:05:39.790554,1085.0
2017-09-19 05:40:39.508799,425.0
2017-07-22 14:50:27.235093,190.0
2017-07-26 21:16:00.164092,516.0
2017-07-04 19:15:43.986511,477.0
2017-07-28 19:31:02.509759,220.0
2017-07-05 12:30:42.575715,830.0
2017-08-08 10:23:18.826434,31.0
2017-08-31 13:05:44.740688,1165.0
2017-08-10 03:07:10.106608,58.0
2017-08-11 05:20:36.435718,175.0
2017-07-27 11:00:52.512151,990.0
2017-08-16 22:21:03.029900,1093.0
2017-09-08 17:35:28.143924,303.0
2017-09-30 04:15:33.708035,378.0
2017-08-03 13:30:57.446352,262.0
2017-07-06 06:36:07.790877,64.0
2017-07-04 10:40:37.833298,263.0
2017-07-12 10:01:12.213858,115.0
2017-07-23 17:40:43.210843,225.0
2017-07-25 17:51:03.236059,821.0
2017-09-20 07:50:41.421353,146.0
2017-07-28 15:26:01.522137,101.0
2017-09-05 21:20:46.970885,759.0
2017-07-28 15:15:50.191775,977.0
2017-09-06 09:45:31.710934,851.0
2017-07-26 16:40:43.982986,2833.0
2017-08-04 19:10:50.362847,994.0
2017-07-19 01:05:37.769555,772.0
2017-07-19 09:43:53.200081,125.0
2017-09-18 08:10:28.386532,107.0
2017-07-07 14:30:48.401684,895.0
2017-09-13 18:41:13.544206,223.0
2017-07-21 21:51:27.513085,393.0
2017-09-04 14:15:38.370076,1081.0
2017-09-18 07:55:23.583944,467.0
2017-08-16 14:15:29.982893,50.0
2017-09-20 06:20:38.021716,648.0
2017-08-01 10:41:18.076993,937.0
2017-08-02 12:41:02.279560,36.0
2017-07-20 16:05:34.900354,210.0
2017-07-21 16:40:52.333541,322.0
2017-08-01 05:21:12.522260,270.0
2017-07-31 12:00:43.035023,56.0
2017-08-23 08:00:42.228197,210.0
2017-07-27 19:15:42.865022,329.0
2017-07-17 12:40:43.914066,617.0
2017-07-26 06:41:32.173593,2184.0
2017-09-20 19:05:56.293115,1183.0
2017-09-05 12:35:42.139858,921.0
2017-07-21 15:00:48.744077,182.0
2017-07-28 20:20:28.078306,72.0
2017-07-30 07:00:30.312366,106.0
2017-07-26 19:20:50.627788,434.0
2017-09-21 09:31:05.383943,809.0
2017-07-28 16:30:45.058600,764.0
2017-08-07 08:10:41.899575,547.0
2017-07-18 11:40:49.876154,1878.0
2017-08-01 20:45:32.073415,249.0
2017-08-03 13:40:35.713313,50.0
2017-08-09 07:05:50.615811,1168.0
2017-07-10 13:11:38.701722,184.0
2017-07-03 21:55:24.702500,234.0
2017-07-05 17:06:10.810470,454.0
2017-07-01 20:06:30.309782,204.0
2017-08-12 18:10:52.623269,688.0
2017-07-29 17:28:47.507556,785.0
2017-08-23 15:00:41.424712,52.0
2017-09-30 11:20:38.523386,794.0
2017-08-04 21:05:40.113552,1141.0
2017-07-24 08:10:42.472729,71.0
2017-07-05 03:45:47.035217,160.0
2017-07-14 09:45:39.469548,338.0
2017-08-19 15:50:37.272534,45.0
2017-07-13 05:00:52.299583,448.0
2017-09-25 10:25:21.649643,40.0
2017-07-13 22:35:39.096361,196.0
2017-08-11 22:40:58.839133,864.0
2017-09-23 03:05:41.752226,873.0
2017-07-13 05:35:31.939052,419.0
2017-08-01 08:36:04.543959,1103.0
2017-07-08 14:50:30.460479,42.0
2017-07-12 21:55:39.460811,241.0
2017-08-06 13:10:31.947482,899.0
2017-07-26 11:45:41.774533,898.0
2017-09-05 22:20:51.404772,1017.0
2017-07-24 06:05:48.211258,1447.0
2017-08-03 07:55:48.420985,1451.0
2017-08-06 11:10:42.678020,638.0
2017-08-09 11:25:41.199401,907.0
2017-09-05 23:01:10.331282,432.0
2017-07-07 09:55:53.632781,225.0
2017-08-04 12:25:36.727784,845.0
2017-08-29 15:05:38.184928,415.0
2017-07-19 15:55:33.648995,145.0
2017-08-07 11:01:13.016032,322.0
2017-07-20 15:35:43.385248,565.0
2017-07-17 13:31:40.255583,2427.0
2017-07-17 17:26:32.552401,181.0
2017-07-16 14:16:02.300629,217.0
2017-07-25 04:46:24.449552,196.0
2017-07-02 13:45:25.847535,308.0
2017-09-13 14:01:18.606034,1131.0
2017-08-18 12:30:39.898940,321.0
2017-08-03 13:21:14.915568,501.0
2017-08-03 01:50:34.816343,153.0
2017-08-10 11:15:28.696484,351.0
2017-07-14 19:05:35.294402,754.0
2017-09-20 13:05:40.434084,390.0
2017-07-06 12:41:11.473330,278.0
